date,company,y,y_hat
2016-10-01,[C2] 카카오뱅크,0,0
2016-11-01,[C2] 카카오뱅크,0,0
2016-12-01,[C2] 카카오뱅크,0,0
2017-01-01,[C2] 카카오뱅크,0,0
2017-02-01,[C2] 카카오뱅크,0,0
2017-03-01,[C2] 카카오뱅크,0,0
2017-04-01,[C2] 카카오뱅크,0,0
2017-05-01,[C2] 카카오뱅크,0,0
2017-06-01,[C2] 카카오뱅크,0,0
2017-07-01,[C2] 카카오뱅크,0.082717448,0.019525904
2017-08-01,[C2] 카카오뱅크,0.184857611,0.038960857
2017-09-01,[C2] 카카오뱅크,0.173665194,0.05829363
2017-10-01,[C2] 카카오뱅크,0.169135895,0.077513238
2017-11-01,[C2] 카카오뱅크,0.169683195,0.096608962
2017-12-01,[C2] 카카오뱅크,0.175126552,0.115570372
2018-01-01,[C2] 카카오뱅크,0.183758253,0.134387348
2018-02-01,[C2] 카카오뱅크,0.180579668,0.153050099
2018-03-01,[C2] 카카오뱅크,0.189993863,0.171549184
2018-04-01,[C2] 카카오뱅크,0.188522807,0.189875525
2018-05-01,[C2] 카카오뱅크,0.178765277,0.208020422
2018-06-01,[C2] 카카오뱅크,0.178206998,0.225975569
2018-07-01,[C2] 카카오뱅크,0.164445083,0.243733062
2018-08-01,[C2] 카카오뱅크,0.16526094,0.261285412
2018-09-01,[C2] 카카오뱅크,0.161152195,0.27862555
2018-10-01,[C2] 카카오뱅크,0.160579399,0.295746835
2018-11-01,[C2] 카카오뱅크,0.235240686,0.312643058
2018-12-01,[C2] 카카오뱅크,0.312528805,0.329308445
2019-01-01,[C2] 카카오뱅크,0.37329954,0.34573766
2019-02-01,[C2] 카카오뱅크,0.400657649,0.361925801
2019-03-01,[C2] 카카오뱅크,0.45136021,0.377868403
2019-04-01,[C2] 카카오뱅크,0.447676899,0.393561431
2019-05-01,[C2] 카카오뱅크,0.451262803,0.409001279
2019-06-01,[C2] 카카오뱅크,0.478508316,0.42418476
2019-07-01,[C2] 카카오뱅크,0.494301151,0.439109105
2019-08-01,[C2] 카카오뱅크,0.458204846,0.453771951
2019-09-01,[C2] 카카오뱅크,0.447632068,0.468171331
2019-10-01,[C2] 카카오뱅크,0.467481438,0.482305667
2019-11-01,[C2] 카카오뱅크,0.485351976,0.496173761
2019-12-01,[C2] 카카오뱅크,0.504404274,0.509774777
2020-01-01,[C2] 카카오뱅크,0.527442415,0.523108235
2020-02-01,[C2] 카카오뱅크,0.55949402,0.536173997
2020-03-01,[C2] 카카오뱅크,0.5737287,0.548972251
2020-04-01,[C2] 카카오뱅크,0.593966479,0.5615035
2020-05-01,[C2] 카카오뱅크,0.577781269,0.573768549
2020-06-01,[C2] 카카오뱅크,0.60661208,0.585768488
2020-07-01,[C2] 카카오뱅크,0.591190821,0.597504681
2020-08-01,[C2] 카카오뱅크,0.583130817,0.608978747
2020-09-01,[C2] 카카오뱅크,0.581121428,0.620192553
2020-10-01,[C2] 카카오뱅크,0.607899849,0.63114819
2020-11-01,[C2] 카카오뱅크,0.639484482,0.641847969
2020-12-01,[C2] 카카오뱅크,0.643066848,0.652294397
2021-01-01,[C2] 카카오뱅크,0.665547564,0.66249017
2021-02-01,[C2] 카카오뱅크,0.664974769,0.672438158
2021-03-01,[C2] 카카오뱅크,0.70102356,0.682141389
2021-04-01,[C2] 카카오뱅크,0.685720202,0.691603038
2016-10-01,[C1] 컬리,0.00423235,0.001012154
2016-11-01,[C1] 컬리,0.003491557,0.002148254
2016-12-01,[C1] 컬리,0.001500481,0.00342314
2017-01-01,[C1] 컬리,0.004828273,0.004853341
2017-02-01,[C1] 컬리,0.013117309,0.006457239
2017-03-01,[C1] 컬리,0.01569871,0.008255256
2017-04-01,[C1] 컬리,0.016503889,0.01027004
2017-05-01,[C1] 컬리,0.012763185,0.012526658
2017-06-01,[C1] 컬리,0.028076277,0.015052804
2017-07-01,[C1] 컬리,0.024340122,0.017879001
2017-08-01,[C1] 컬리,0.029743672,0.021038798
2017-09-01,[C1] 컬리,0.025049771,0.024568964
2017-10-01,[C1] 컬리,0.026475367,0.028509654
2017-11-01,[C1] 컬리,0.026810246,0.032904557
2017-12-01,[C1] 컬리,0.034965961,0.037800992
2018-01-01,[C1] 컬리,0.046637728,0.043249949
2018-02-01,[C1] 컬리,0.04874288,0.049306055
2018-03-01,[C1] 컬리,0.05245664,0.056027437
2018-04-01,[C1] 컬리,0.057830797,0.063475465
2018-05-01,[C1] 컬리,0.07290314,0.071714338
2018-06-01,[C1] 컬리,0.072770868,0.080810495
2018-07-01,[C1] 컬리,0.072398897,0.090831812
2018-08-01,[C1] 컬리,0.057364346,0.101846559
2018-09-01,[C1] 컬리,0.043870867,0.113922096
2018-10-01,[C1] 컬리,0.077883631,0.127123287
2018-11-01,[C1] 컬리,0.099141958,0.141510622
2018-12-01,[C1] 컬리,0.171249018,0.157138072
2019-01-01,[C1] 컬리,0.268781668,0.174050691
2019-02-01,[C1] 컬리,0.251871865,0.192282024
2019-03-01,[C1] 컬리,0.299782973,0.211851419
2019-04-01,[C1] 컬리,0.255023645,0.232761338
2019-05-01,[C1] 컬리,0.247700403,0.254994837
2019-06-01,[C1] 컬리,0.323570562,0.278513351
2019-07-01,[C1] 컬리,0.342863357,0.303255003
2019-08-01,[C1] 컬리,0.250083396,0.329133599
2019-09-01,[C1] 컬리,0.267757436,0.356038476
2019-10-01,[C1] 컬리,0.349516842,0.383835353
2019-11-01,[C1] 컬리,0.393635106,0.412368232
2019-12-01,[C1] 컬리,0.434284908,0.441462372
2020-01-01,[C1] 컬리,0.425573861,0.47092823
2020-02-01,[C1] 컬리,0.560986653,0.500566224
2020-03-01,[C1] 컬리,0.54417343,0.530172059
2020-04-01,[C1] 컬리,0.608524739,0.559542323
2020-05-01,[C1] 컬리,0.594141049,0.588480033
2020-06-01,[C1] 컬리,0.636756033,0.616799818
2020-07-01,[C1] 컬리,0.701441872,0.644332438
2020-08-01,[C1] 컬리,0.699507133,0.670928444
2020-09-01,[C1] 컬리,0.619877374,0.696460817
2020-10-01,[C1] 컬리,0.643128527,0.720826535
2020-11-01,[C1] 컬리,0.702645965,0.743947099
2020-12-01,[C1] 컬리,0.799744008,0.765768095
2021-01-01,[C1] 컬리,0.802486725,0.786257959
2021-02-01,[C1] 컬리,0.758804818,0.805406095
2021-03-01,[C1] 컬리,0.89741173,0.823220552
2021-04-01,[C1] 컬리,0.833050622,0.839725426
2016-10-01,[C3] 당근마켓,0.004646765,0.000172902
2016-11-01,[C3] 당근마켓,0.006453652,0.000371506
2016-12-01,[C3] 당근마켓,0.008644605,0.000599621
2017-01-01,[C3] 당근마켓,0.008736265,0.000861615
2017-02-01,[C3] 당근마켓,0.010338138,0.001162497
2017-03-01,[C3] 당근마켓,0.011977723,0.001508012
2017-04-01,[C3] 당근마켓,0.013598121,0.00190474
2017-05-01,[C3] 당근마켓,0.013289038,0.002360224
2017-06-01,[C3] 당근마켓,0.015621287,0.002883099
2017-07-01,[C3] 당근마켓,0.017836486,0.003483248
2017-08-01,[C3] 당근마켓,0.01467252,0.004171975
2017-09-01,[C3] 당근마켓,0.016369705,0.004962204
2017-10-01,[C3] 당근마켓,0.018493816,0.005868692
2017-11-01,[C3] 당근마켓,0.020768597,0.006908284
2017-12-01,[C3] 당근마켓,0.024464746,0.008100176
2018-01-01,[C3] 당근마켓,0.026113351,0.009466228
2018-02-01,[C3] 당근마켓,0.027617139,0.011031293
2018-03-01,[C3] 당근마켓,0.029334655,0.012823583
2018-04-01,[C3] 당근마켓,0.031980828,0.014875064
2018-05-01,[C3] 당근마켓,0.033035865,0.017221876
2018-06-01,[C3] 당근마켓,0.030786166,0.019904784
2018-07-01,[C3] 당근마켓,0.033749783,0.022969631
2018-08-01,[C3] 당근마켓,0.036092726,0.026467802
2018-09-01,[C3] 당근마켓,0.03491857,0.030456679
2018-10-01,[C3] 당근마켓,0.039495369,0.035000048
2018-11-01,[C3] 당근마켓,0.042428668,0.040168448
2018-12-01,[C3] 당근마켓,0.060115189,0.046039415
2019-01-01,[C3] 당근마켓,0.074534554,0.052697566
2019-02-01,[C3] 당근마켓,0.078841873,0.060234472
2019-03-01,[C3] 당근마켓,0.088834713,0.068748243
2019-04-01,[C3] 당근마켓,0.087308483,0.078342741
2019-05-01,[C3] 당근마켓,0.086647589,0.089126338
2019-06-01,[C3] 당근마켓,0.103641181,0.101210117
2019-07-01,[C3] 당근마켓,0.11451203,0.114705427
2019-08-01,[C3] 당근마켓,0.115153254,0.129720716
2019-09-01,[C3] 당근마켓,0.13366652,0.146357611
2019-10-01,[C3] 당근마켓,0.151022528,0.164706226
2019-11-01,[C3] 당근마켓,0.159387181,0.184839792
2019-12-01,[C3] 당근마켓,0.184166334,0.206808767
2020-01-01,[C3] 당근마켓,0.200161875,0.230634697
2020-02-01,[C3] 당근마켓,0.237157736,0.256304217
2020-03-01,[C3] 당근마켓,0.283885538,0.283763674
2020-04-01,[C3] 당근마켓,0.321630433,0.312914953
2020-05-01,[C3] 당근마켓,0.348535546,0.343613067
2020-06-01,[C3] 당근마켓,0.373432014,0.375666067
2020-07-01,[C3] 당근마켓,0.414510159,0.408837641
2020-08-01,[C3] 당근마켓,0.458288557,0.442852591
2020-09-01,[C3] 당근마켓,0.486272249,0.477405045
2020-10-01,[C3] 당근마켓,0.528584614,0.512168974
2020-11-01,[C3] 당근마켓,0.543409387,0.54681029
2020-12-01,[C3] 당근마켓,0.590397912,0.580999588
2021-01-01,[C3] 당근마켓,0.640275996,0.614424508
2021-02-01,[C3] 당근마켓,0.644964256,0.646800759
2021-03-01,[C3] 당근마켓,0.690195531,0.677881005
2021-04-01,[C3] 당근마켓,0.661526082,0.707461088
2016-10-01,[C4] 라프텔,0.029817003,0.001207356
2016-11-01,[C4] 라프텔,0.00943526,0.002548514
2016-12-01,[C4] 라프텔,0.015747732,0.004037874
2017-01-01,[C4] 라프텔,0.030565013,0.005691288
2017-02-01,[C4] 라프텔,0.034195596,0.00752618
2017-03-01,[C4] 라프텔,0.047428678,0.00956167
2017-04-01,[C4] 라프텔,0.027360126,0.011818709
2017-05-01,[C4] 라프텔,0.033736452,0.014320206
2017-06-01,[C4] 라프텔,0.064489988,0.017091159
2017-07-01,[C4] 라프텔,0.05365601,0.020158777
2017-08-01,[C4] 라프텔,0.032596193,0.023552603
2017-09-01,[C4] 라프텔,0.031267412,0.027304605
2017-10-01,[C4] 라프텔,0.041423316,0.031449267
2017-11-01,[C4] 라프텔,0.040459417,0.036023636
2017-12-01,[C4] 라프텔,0.045084306,0.041067337
2018-01-01,[C4] 라프텔,0.041079718,0.046622545
2018-02-01,[C4] 라프텔,0.030647111,0.052733889
2018-03-01,[C4] 라프텔,0.038458643,0.059448286
2018-04-01,[C4] 라프텔,0.067488108,0.066814688
2018-05-01,[C4] 라프텔,0.085558926,0.074883723
2018-06-01,[C4] 라프텔,0.050463286,0.083707214
2018-07-01,[C4] 라프텔,0.040787811,0.093337568
2018-08-01,[C4] 라프텔,0.047367864,0.10382701
2018-09-01,[C4] 라프텔,0.080134336,0.115226654
2018-10-01,[C4] 라프텔,0.088991865,0.127585415
2018-11-01,[C4] 라프텔,0.13221831,0.140948739
2018-12-01,[C4] 라프텔,0.279798184,0.155357188
2019-01-01,[C4] 라프텔,0.183335344,0.170844872
2019-02-01,[C4] 라프텔,0.204154946,0.187437784
2019-03-01,[C4] 라프텔,0.212288791,0.205152063
2019-04-01,[C4] 라프텔,0.259480295,0.223992261
2019-05-01,[C4] 라프텔,0.229094683,0.243949697
2019-06-01,[C4] 라프텔,0.359561556,0.265000957
2019-07-01,[C4] 라프텔,0.338212873,0.287106674
2019-08-01,[C4] 라프텔,0.276730128,0.310210664
2019-09-01,[C4] 라프텔,0.327229902,0.334239523
2019-10-01,[C4] 라프텔,0.340265339,0.359102766
2019-11-01,[C4] 라프텔,0.329367507,0.384693574
2019-12-01,[C4] 라프텔,0.390007982,0.410890157
2020-01-01,[C4] 라프텔,0.374415325,0.437557758
2020-02-01,[C4] 라프텔,0.500123518,0.464551214
2020-03-01,[C4] 라프텔,0.49267991,0.491717996
2020-04-01,[C4] 라프텔,0.459867827,0.518901605
2020-05-01,[C4] 라프텔,0.489362517,0.545945157
2020-06-01,[C4] 라프텔,0.529131698,0.572694979
2020-07-01,[C4] 라프텔,0.58354484,0.599004062
2020-08-01,[C4] 라프텔,0.745914628,0.624735188
2020-09-01,[C4] 라프텔,0.685669443,0.649763606
2020-10-01,[C4] 라프텔,0.666470529,0.673979156
2020-11-01,[C4] 라프텔,0.800653124,0.697287776
2020-12-01,[C4] 라프텔,0.747209962,0.719612375
2021-01-01,[C4] 라프텔,0.788709295,0.740893102
2021-02-01,[C4] 라프텔,0.656871071,0.76108705
2021-03-01,[C4] 라프텔,0.808346069,0.780167485
2021-04-01,[C4] 라프텔,0.727281282,0.798122691
